City,Region,Month,Year,Rainfall(mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph),Heat Index(max),Heat index(min),Heat index(mean),Heat  Wave
ADILABAD,Hilly,September,2021,11.72555556,23.67611111,31.13222222,69.50444444,94.92925926,0.079814815,4.572222222,32.57063312,18.10520128,25.3379172,0
ADILABAD,Hilly,October,2021,2.116129032,20.57419355,32.09713262,53.20860215,93.34551971,0.001792115,4.084050179,49.26635722,24.2780364,36.77219681,1
ADILABAD,Hilly,November,2021,0.789247312,18.77544803,30.82491039,51.31272401,92.19283154,0,0.183691756,43.86783759,25.46294598,34.66539178,1
ADILABAD,Hilly,December,2021,0.26702509,13.99659498,29.11236559,42.940681,90.96810036,0.02311828,3.948028674,38.48207103,29.67987291,34.08097197,1
ADILABAD,Hilly,January,2019,0.13085554,12.20126227,29.28190743,33.55736325,83.5430575,0.082697947,7.25601173,38.16495307,29.620999,33.89297604,1
ADILABAD,Hilly,February,2019,0.018478261,16.93835404,33.29285714,27.53850932,71.90729814,0.067045455,10.35211039,47.87200878,24.79084392,36.33142635,1
ADILABAD,Hilly,March,2019,0.069424965,21.83211781,36.97265077,22.47798036,59.66381487,0.163782991,11.79589443,53.90270265,23.94990164,38.92630214,1
ADILABAD,Hilly,April,2019,0.219565217,26.9815942,40.8173913,17.35594203,50.24246377,0.164090909,12.8369697,60.46890469,26.01190464,43.24040467,1
ADILABAD,Hilly,May,2019,0.059607293,30.19032258,42.70687237,13.93800842,36.02987377,0.741521395,12.58716323,55.43983495,28.40898216,41.92440855,1
ADILABAD,Hilly,June,2019,4.580555556,28.32833333,39.62611111,33.60703704,70.77833333,0.784752475,11.99128713,68.06013252,26.50656865,47.28335058,1
ADILABAD,Hilly,July,2019,11.61810036,24.96792115,32.49695341,65.38781362,92.30107527,1.045155393,10.8749543,39.23210977,19.80113011,29.51661994,0
ADILABAD,Hilly,August,2019,8.233691756,24.14426523,30.26487455,73.6483871,96.3109319,0.520788531,10.23046595,35.80578509,19.82433827,27.81506168,0
ADILABAD,Hilly,September,2019,6.326628352,23.68860153,30.66072797,75.83170498,97.6605364,0.182375479,8.371264368,39.84013682,20.24101258,30.0405747,1
ADILABAD,Hilly,October,2019,2.746953405,22.06639785,31.5531362,66.6311828,98.05035842,0.040322581,6.891397849,48.74012615,22.6409419,35.69053402,1
ADILABAD,Hilly,November,2019,0.150185185,17.72351852,31.15537037,51.19166667,96.40092593,0.026296296,5.732407407,49.507547,26.29328229,37.90041465,1
ADILABAD,Hilly,December,2019,0.022939068,15.83548387,28.84229391,49.89130824,93.60528674,0.053942652,5.470250896,38.87971496,28.03352955,33.45662226,1
WARANGAL R,Plain,January,2019,0.587250384,15.02304147,30.0235023,41.45729647,93.90107527,0.070814132,7.940245776,43.56107062,28.33994252,35.95050657,0
WARANGAL R,Plain,February,2019,0.106632653,19.51938776,33.29778912,38.32908163,90.83112245,0.141496599,8.756122449,57.72740209,25.27355167,41.50047688,1
WARANGAL R,Plain,March,2019,0,20.9863866,34.97564338,35.3201041,89.36526703,0.288420562,9.50738397,65.6664978,24.89947458,45.28298619,1
